"","Ordem","Familia","Reads totais","ASVs","OTUs","Generos","Especies","N-Especies"
"1","Characiformes","Acestrorhamphidae",283802,104,32,4,5,3
"2","Characiformes","Anostomidae",1294,3,3,3,1,2
"3","Characiformes","Bryconidae",62125,13,3,2,2,1
"4","Characiformes","Characidae",172,1,1,1,1,0
"5","Cichliformes","Cichlidae",71520,23,8,3,2,2
"6","Characiformes","Crenuchidae",11148,5,4,1,1,2
"7","Characiformes","Curimatidae",867,2,2,1,1,0
"8","Characiformes","Erythrinidae",71625,18,7,1,1,0
"9","Gymnotiformes","Gymnotidae",16026,4,2,1,0,2
"10","Siluriformes","Heptapteridae",376,3,3,3,3,0
"11","Siluriformes","Loricariidae",6534,7,6,4,2,4
"12","Characiformes","Parodontidae",24972,5,2,1,1,0
"13","Siluriformes","Pimelodidae",8339,9,3,2,0,2
"14","Cyprinodontiformes","Poeciliidae",25841,8,2,1,1,1
"15","Characiformes","Prochilodontidae",2589,5,2,1,1,0
"16","Characiformes","Serrasalmidae",282,1,1,1,1,0
"17","Gymnotiformes","Sternopygidae",2708,2,2,2,1,1
"18","Characiformes","Stevardiidae",9619,14,5,4,3,1
"19","Siluriformes","Trichomycteridae",3424,6,2,1,0,2
