"","nivel","taxon"
"1","especie","Psalidodon rivularis"
"2","especie","Brycon nattereri"
"3","especie","Hoplias intermedius"
"4","especie","Parodon hilarii"
"5","especie","Australoheros oblongus"
"6","especie","Hasemania nana"
"7","especie","Psalidodon fasciatus"
"8","especie","Astyanax lacustris"
"9","especie","Salminus franciscanus"
"10","especie","Piabarchus stramineus"
"11","especie","Moenkhausia costae"
"12","especie","Parotocinclus robustus"
"13","especie","Characidium lagosantense"
"14","especie","Coptodon rendalli"
"15","especie","Phalloceros uai"
"16","especie","Prochilodus argenteus"
"17","especie","Lepidocharax burnsi"
"18","especie","Imparfinis minutus"
"19","especie","Hypostomus francisci"
"20","especie","Cetopsorhamdia iheringi"
"21","especie","Pimelodella vittata"
"22","especie","Megaleporinus obtusidens"
"23","especie","Sternopygus macrurus"
"24","especie","Piabina argentea"
"25","especie","Steindachnerina elegans"
"26","especie","Myleus micans"
"27","especie","Phenacogaster franciscoensis"
"28","genero_sp","Trichomycterus sp. "
"29","genero_sp","Harttia sp. 2"
"30","genero_sp","Phalloceros sp."
"31","genero_sp","Characidium sp. 2"
"32","genero_sp","Harttia sp. 1"
"33","genero_sp","Characidium sp. 1"
"34","genero_sp","Australoheros sp."
"35","genero_sp","Eigenmannia sp."
"36","genero_sp","Stevardiidae sp."
"37","genero_sp","Psalidodon sp. 1"
"38","genero_sp","Psalidodon sp. 2"
"39","genero_sp","Hasemania sp."
"40","genero_sp","Brycon sp."
"41","genero_sp","Hypostomus sp."
"42","genero_sp","Pimelodus sp."
"43","genero_sp","Hypomasticus sp."
"44","genero_sp","Hisonotus sp."
"45","affinis","Rhamdia aff. quelen"
"46","affinis","Geophagus aff. brasiliensis"
"47","affinis","Gymnotus aff. sylvius"
"48","affinis","Trichomycterus aff. alternatus"
"49","affinis","Gymnotus aff. carapo"
"50","affinis","Leporellus aff. vittatus"
