"","Ordem","Familia","Genero","Taxa","Reads","ASVs","OTUs"
"1","Characiformes","Acestrorhamphidae","Astyanax","Astyanax lacustris",21814,9,4
"2","Cichliformes","Cichlidae","Australoheros","Australoheros oblongus",13281,6,2
"3","Cichliformes","Cichlidae","Australoheros","Australoheros sp.",3163,3,1
"4","Characiformes","Bryconidae","Brycon","Brycon nattereri",60214,10,1
"5","Characiformes","Bryconidae","Brycon","Brycon sp.",356,1,1
"6","Siluriformes","Heptapteridae","Cetopsorhamdia","Cetopsorhamdia iheringi",74,1,1
"7","Characiformes","Crenuchidae","Characidium","Characidium lagosantense",114,1,1
"8","Characiformes","Crenuchidae","Characidium","Characidium sp. 1",8539,2,1
"9","Characiformes","Crenuchidae","Characidium","Characidium sp. 2",2495,2,2
"10","Cichliformes","Cichlidae","Coptodon","Coptodon rendalli",1575,1,1
"11","Gymnotiformes","Sternopygidae","Eigenmannia","Eigenmannia sp.",2041,1,1
"12","Cichliformes","Cichlidae","Geophagus","Geophagus aff. brasiliensis",53501,13,4
"13","Gymnotiformes","Gymnotidae","Gymnotus","Gymnotus aff. carapo",262,3,1
"14","Gymnotiformes","Gymnotidae","Gymnotus","Gymnotus aff. sylvius",15764,1,1
"15","Siluriformes","Loricariidae","Harttia","Harttia sp. 1",5925,1,1
"16","Siluriformes","Loricariidae","Harttia","Harttia sp. 2",335,1,1
"17","Characiformes","Acestrorhamphidae","Hasemania","Hasemania nana",23491,5,1
"18","Characiformes","Acestrorhamphidae","Hasemania","Hasemania sp.",1474,1,1
"19","Siluriformes","Loricariidae","Hisonotus","Hisonotus sp.",13,1,1
"20","Characiformes","Erythrinidae","Hoplias","Hoplias intermedius",71625,18,7
"21","Characiformes","Anostomidae","Hypomasticus","Hypomasticus sp.",216,1,1
"22","Siluriformes","Loricariidae","Hypostomus","Hypostomus francisci",173,1,1
"23","Siluriformes","Loricariidae","Hypostomus","Hypostomus sp.",64,1,1
"24","Siluriformes","Heptapteridae","Imparfinis","Imparfinis minutus",282,1,1
"25","Characiformes","Stevardiidae","Lepidocharax","Lepidocharax burnsi",1313,7,2
"26","Characiformes","Anostomidae","Leporellus","Leporellus aff. vittatus",669,1,1
"27","Characiformes","Anostomidae","Megaleporinus","Megaleporinus obtusidens",409,1,1
"28","Characiformes","Acestrorhamphidae","Moenkhausia","Moenkhausia costae",6,1,1
"29","Characiformes","Serrasalmidae","Myleus","Myleus micans",282,1,1
"30","Characiformes","Parodontidae","Parodon","Parodon hilarii",24972,5,2
"31","Siluriformes","Loricariidae","Parotocinclus","Parotocinclus robustus",24,2,1
"32","Cyprinodontiformes","Poeciliidae","Phalloceros","Phalloceros sp.",15224,5,1
"33","Cyprinodontiformes","Poeciliidae","Phalloceros","Phalloceros uai",10617,3,1
"34","Characiformes","Characidae","Phenacogaster","Phenacogaster franciscoensis",172,1,1
"35","Characiformes","Stevardiidae","Piabarchus","Piabarchus stramineus",7938,5,1
"36","Characiformes","Stevardiidae","Piabina","Piabina argentea",42,1,1
"37","Siluriformes","Heptapteridae","Pimelodella","Pimelodella vittata",20,1,1
"38","Siluriformes","Pimelodidae","Pimelodus","Pimelodus sp.",14,1,1
"39","Characiformes","Prochilodontidae","Prochilodus","Prochilodus argenteus",2589,5,2
"40","Characiformes","Acestrorhamphidae","Psalidodon","Psalidodon fasciatus",52138,15,4
"41","Characiformes","Acestrorhamphidae","Psalidodon","Psalidodon rivularis",168573,64,20
"42","Characiformes","Acestrorhamphidae","Psalidodon","Psalidodon sp. 1",442,2,1
"43","Characiformes","Acestrorhamphidae","Psalidodon","Psalidodon sp. 2",15864,7,1
"44","Siluriformes","Pimelodidae","Rhamdia","Rhamdia aff. quelen",8325,8,2
"45","Characiformes","Bryconidae","Salminus","Salminus franciscanus",1555,2,1
"46","Characiformes","Curimatidae","Steindachnerina","Steindachnerina elegans",867,2,2
"47","Gymnotiformes","Sternopygidae","Sternopygus","Sternopygus macrurus",667,1,1
"48","Characiformes","Stevardiidae","Stevardiidae","Stevardiidae sp.",326,1,1
"49","Siluriformes","Trichomycteridae","Trichomycterus","Trichomycterus aff. alternatus",637,3,1
"50","Siluriformes","Trichomycteridae","Trichomycterus","Trichomycterus sp. ",2787,3,1
